id,name,ticker,closing_price
1,3Cnergy                       ,502,0.03
2,8Telecom^                     ,AZG,0.07
3,A-Smart                       ,BQC,0.3
4,A-Sonic Aero^                 ,BTJ,0.23
5,AA                            ,5GZ,0.01
6,ABF SG BOND ETF               ,A35,1.27
7,ABR                           ,533,0.58
8,AEI^                          ,AWG,0.9
9,AEM                           ,AWX,3.06
10,AF Global                     ,L38,0.11
11,AGV                           ,1A4,0.02
12,AIMS APAC Reit                ,O5RU,1.2
13,AIMS Property                 ,BVP,1
14,AMOS                          ,RF7,0.02
15,AMTD IB OV                    ,HKB,16.98
16,AP Oil                        ,5AU,0.16
17,APAC Realty                   ,CLN,0.35
18,ARA HTrust USD                ,XZL,0.38
19,ARA LOGOS Log Tr              ,K2LU,0.51
20,ASL Marine^                   ,A04,0.03
21,ASTI^                         ,575,0.03
22,AVJennings A$                 ,A05,0.38
23,Abundance Intl                ,541,0.01
24,Accordia Golf Tr              ,ADQU,0.58
25,Accrelist Ltd                 ,QZG,0.03
26,Acesian Partners              ,5FW,0.01
27,Acma^                         ,AYV,0.1
28,Acromec                       ,43F,0.05
29,Addvalue Tech                 ,A31,0.03
30,Advanced^                     ,BLZ,0.07
31,Advancer Global               ,43Q,0.13
32,AliPictures HKD               ,S91,1.17
33,Alita Resources               ,40F,0.08
34,Alliance HC                   ,MIJ,0.2
35,Alpha Energy                  ,5TS,0.03
36,Amara                         ,A34,0.35
37,Amcorp Global                 ,S9B,0.18
38,Amplefield Ltd                ,AOF,0.03
39,Anchor Resources              ,43E,0.01
40,Anchun Intl^                  ,BTX,0.22
41,AnnAik                        ,A52,0.07
42,Aoxin Q & M                   ,1D4,0.12
43,Arion Ent                     ,YYB,0.01
44,Ascendas Reit                 ,A17U,2.98
45,Ascendas-iTrust               ,CY6U,1.35
46,Ascott Trust                  ,HMN,0.86
47,Asia Enterprises              ,A55,0.13
48,Asia Vets                     ,5RE,0.07
49,AsiaMedic                     ,505,0.01
50,AsiaPhos                      ,5WV,0.02
51,Asian Healthcare              ,1J3,0.19
52,Asian Pay Tv Tr               ,S7OU,0.13
53,Asiatic                       ,5CR,0.01
54,Aspen                         ,1F3,0.06
55,Aspial                        ,A30,0.16
56,Astaka                        ,42S,0.09
57,Atlantic Nav                  ,5UL,0.03
58,AusGroup^                     ,5GJ,0.03
59,Avarga                        ,U09,0.13
60,Avi-Tech                      ,BKY,0.38
61,Axington                      ,42U,0.15
62,Azeus                         ,BBW,1.02
63,B&M Hldg                      ,CJN,2.6
64,BBR                           ,KJ5,0.2
65,BH Global^                    ,BQN,0.14
66,BHG Retail Reit               ,BMGU,0.62
67,BMM^                          ,I9T,0.01
68,BRC Asia                      ,BEC,1.15
69,Baker Technology              ,BTP,0.2
70,Ban Leong                     ,B26,0.19
71,Banyan Tree                   ,B58,0.24
72,Beng Kuang^                   ,BEZ,0.06
73,Best World                    ,CGN,1.36
74,Biolidics                     ,8YY,0.4
75,BlackGoldNatural              ,41H,0.01
76,Boldtek                       ,5VI,0.09
77,Bonvests                      ,B28,0.84
78,Boustead                      ,F9D,0.61
79,Boustead Proj                 ,AVM,0.77
80,BreadTalk                     ,CTN,0.76
81,Broadway Ind^                 ,B69,0.1
82,Brook Crompton                ,AWC,0.86
83,Bukit Sembawang               ,B61,3.99
84,Bumitama Agri                 ,P8Z,0.44
85,Bund Center                   ,BTE,0.5
86,CDL HTrust                    ,J85,0.92
87,CDW                           ,BXE,0.13
88,CEI                           ,AVV,0.86
89,CFM                           ,5EB,0.01
90,CH Offshore                   ,C13,0.04
91,CITYDEV NCCPS                 ,C70,1.05
92,CNMC Goldmine                 ,5TP,0.21
93,COSCO SHP SG                  ,F83,0.22
94,CPH                           ,539,0.01
95,CSC                           ,C06,0.02
96,CSE Global                    ,544,0.43
97,Camsing Hc                    ,BAC,1.07
98,CapitaCom Trust               ,C61U,1.62
99,CapitaLand                    ,C31,2.91
100,CapitaMall Trust              ,C38U,1.89
101,CapitaR China Tr              ,AU8U,1.29
102,Captii                        ,AWV,0.36
103,Casa^                         ,C04,0.04
104,Centurion                     ,OU8,0.38
105,Challenger                    ,573,0.44
106,Chasen^                       ,5NV,0.06
107,Chemical Ind                  ,C05,0.63
108,Cheung Woh                    ,C50,0.08
109,China Aviation                ,G92,1.01
110,China Env Res                 ,RS1,0.02
111,China Everbright              ,U9E,0.2
112,China Intl                    ,BEH,0.19
113,China Jishan^                 ,J18,0.12
114,China Mining^                 ,BHD,0.04
115,China Star Food               ,42W,0.02
116,China Yuanbang^               ,BCD,0.15
117,ChinaKangdaFood               ,P74,0.07
118,ChinaKundaTech                ,GU5,0.01
119,ChinaSunsine                  ,QES,0.36
120,Chip Eng Seng                 ,C29,0.52
121,Choo Chiang                   ,42E,0.2
122,Chuan Hup                     ,C33,0.19
